storeName,tier,state,latitude,longitude
Salesify Marketing Warehouse,Test,Test,0,0
Sant Nagar Burari,Tier 1,Delhi,28.7041,77.1025
Shakurpur,Tier 1,Delhi,28.6896,77.164
storeName Testing Id for pro,Test,Test,0,0
Uat Test,Test,Test,0,0
Udaipur Bhuwana Road,Tier 2,Rajasthan,24.5854,73.7125
Udaipur UIT Circle,Tier 2,Rajasthan,24.5854,73.7125
Varanasi Mahmoorganj,Tier 2,Uttar Pradesh,25.3176,82.9739
West Patel Nagar,Tier 1,Delhi,28.6562,77.164
Yamuna Nagar Model Town,Tier 2,Haryana,30.129,77.2674
Zirakpur PR 7,Tier 2,Punjab,30.6378,76.82
Adchini Aurobindo Marg,Tier 1,Delhi,28.53829,77.19815
Ahmedabad SKY City,Tier 1,Gujarat,23.00564,72.46796
Aligarh IT Palmcourt,Tier 3,Uttar Pradesh,27.90509,78.0886
Ambala NDI Plaza,Tier 2,Haryana,30.26134,76.85434
Ashok Vihar Pocket D,Tier 1,Delhi,28.69157,77.17714
Assam Pirbi Market,Tier 3,Assam,25.85075,93.42476
Bareilly Rajendra Nagar,Tier 3,Uttar Pradesh,28.38456,79.4334
Bhopal Chunabhatti,Tier 2,Madhya Pradesh,23.19993,77.41662
Chandigarh Sector 22,Tier 2,Chandigarh,30.73072,76.77455
Chandigarh Sector 36,Tier 2,Chandigarh,30.7342,76.75319
Daryaganj Subhash Marg,Tier 1,Delhi,28.64403,77.24062
Dayanand Colony,Tier 1,Delhi,28.56105,77.24609
Dehradun KSR Tower,Tier 2,Uttarakhand,30.31834,78.04842
Delhi Janakpuri B Block,Tier 1,Delhi,28.63359,77.08999
Delhi Malviya Nagar Block C,Tier 1,Delhi,28.53741,77.21028
Dilshad Garden,Tier 1,Delhi,28.67854,77.31411
East Of Kailash C 39,Tier 1,Delhi,28.55978,77.25699
Faridabad Sector 9,Tier 1,Haryana,28.37615,77.33308
Greater Noida Sec-16B,Tier 1,Uttar Pradesh,28.60765,77.4422
Gurugram AIPL Sec 62,Tier 1,Haryana,28.40181,77.08486
Gurugram ASF Insignia,Tier 3,Haryana,28.40771,77.04061
Gurugram Gwalpahadi,Tier 1,Haryana,28.43196,77.13837
Gurugram Sec 21,Tier 1,Haryana,28.41104,77.04112
Gwalior Patel Nagar,Tier 2,Madhya Pradesh,26.20894,78.19136
Haldwani Thandi Sadak,Tier 3,Uttarakhand,29.22959,79.5317
Ho Marlboro,Tier 1,Delhi,28.55026,77.27262
Hyderabad Hitech City Avasa,Tier 1,Telangana,17.44714,78.38365
Hyderabad Madhapur,Tier 1,Telangana,17.4476,78.38415
Hyderabad Raidurg,Tier 1,Telangana,17.44477,78.37721
Jabalpur Napier Town,Tier 3,Madhya Pradesh,23.16071,79.92292
Jaipur Aatish Market Metro,Tier 1,Rajasthan,26.87991,75.76442
Jaipur Ajmer Road,Tier 3,Rajasthan,26.87685,75.77403
Jaipur C Scheme,Tier 1,Rajasthan,26.90539,75.79419
Jaipur Jagatpura,Tier 1,Rajasthan,26.80338,75.87177
Jaipur Malviya Nagar,Tier 1,Rajasthan,26.84658,75.80822
Jaipur Mansarovar,Tier 1,Rajasthan,26.8463,75.76594
Jaipur Patrakar Colony,Tier 1,Rajasthan,26.84105,75.74369
Jaipur Pratap Nagar,Tier 1,Rajasthan,26.80896,75.82605
Jaipur Ridhi Sidhi,Tier 1,Rajasthan,26.8475,75.76628
Jaipur Vidhyadhar Nagar,Tier 1,Rajasthan,26.95928,75.778
Janakpuri Block B,Tier 1,Delhi,28.63328,77.09015
Jasola IOCL,Tier 1,Delhi,28.53798,77.29007
Karol Bagh Metro Station,Tier 1,Delhi,28.64398,77.18882
Kirti Nagar,Tier 1,Delhi,28.6545,77.13701
Laxmi Nagar,Tier 1,Delhi,28.63759,77.28468
Mathura Gurukripa Vilas,Tier 3,Uttar Pradesh,27.51986,77.65759
Mohali Gmada Aerocity,Tier 2,Punjab,30.63288,76.76723
Mohali Sector 82,Tier 2,Punjab,30.66106,76.7353
Mother Dairy Road,Tier 1,Delhi,28.62729,77.2797
Mukherjee Nagar,Tier 1,Delhi,28.71376,77.21602
Noida Sector 18,Tier 1,Uttar Pradesh,28.57146,77.32426
Palam Sadh Nagar,Tier 1,Delhi,28.58645,77.09111
Panchkula Sec 11,Tier 2,Haryana,30.68953,76.85285
Paschim Vihar,Tier 1,Delhi,28.66983,77.10618
Patiala City Center,Tier 2,Punjab,30.34266,76.37863
Patna Aiims RD,Tier 2,Bihar,25.56909,85.04642
Rohini 7,Tier 1,Delhi,28.71293,77.11832
Rohini Mangolpur,Tier 1,Delhi,28.69952,77.09539
Rohini Sector 16,Tier 1,Delhi,28.73852,77.12458
Saket PVR Anupam,Tier 1,Delhi,28.52357,77.20777
Sonipat GT Road,Tier 2,Haryana,28.95576,77.09349
South Campus,Tier 1,Delhi,28.58772,77.16707
Subhash Nagar,Tier 1,Delhi,28.63959,77.10368
Udaipur New Bhopalpura,Tier 3,Rajasthan,24.59969,73.70613
Udaipur Sector 11,Tier 3,Rajasthan,24.5546,73.69194
Udaipur Sector 4,Tier 3,Rajasthan,24.56781,73.72318
Uttam Nagar,Tier 1,Delhi,28.62456,77.06276
Vijay Nagar,Tier 2,Delhi,28.69221,77.20096
Visakhapatnam Bhanu Nagar,Tier 3,Andhra Pradesh,17.74591,83.32175
Zirakpur SCO 38,Tier 2,Punjab,30.63991,76.80276
